CaseID,Q1,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q6A,Q6B,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q8,Q9A,Q9B,Q9C,Q9D,Q10A,Q10B,Q10C,Q10D,Q12,Q13,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q17,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q20a,Q20b,Q20c,Q20d,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q23,Q24,Q24A,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,XPARTY7,PARTY_1,PARTY_1_Other,PARTY_2,PARTY_3,PARTY_4,TEAPARTY3,XIDEO,xspanish,xprimelan,PARENT,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,weight,duration
45,2,2,2,2,2,3,1,3,3,3,3,2,3,2,3,3,2,1,1,2,3,2,3,2,3,1,1,2,1,1,2,2,1,1,2,2,3,2,2,2,2,3,2,3,3,2,3,2,3,2,2,1,2,2,2,1,1, ,2,1,1,1,1,2,2,2,1,7,2, , ,1, , ,5,1,5,0,58,5,3,13,4,1,2,1,1,2,15,5,1,4,9,1,93,0,0,0,0,1,1,1,.7108,16
46,2,2,2,2,2,3,3,2,2,3,1,2,1,3,3,3,1,2,2,3,2,1,3,1,1,1,3,3,3,3,1,2,1,2,1,3,3,3,2,2,1,1,2,3,1,3,1,3,1,2,2,3,3,3,2,1,1, ,3,1,1,1,1,2,2,3,1,3,3, , , ,1,3,4,1,5,0,71,6,4,10,3,1,1,1,1,1,12,3,1,3,7,1,74,0,0,0,0,1,5,1,.7974,12
48,1,2,4,2,2,1,2,3,1,3,1,2,1,2,2,2,2,1,3,2,1,3,-1,-1,-1,1,1,3,3,3,2,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,1,1,1,2,2,1,1,4,5, , , ,-1, ,4,1,5,0,43,3,2,10,3,1,2,1,4,3,13,1,1,2,3,2,31,0,0,0,0,4,1,1,1.2099,6
49,1,2,1,2,1,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,2,3,3,3,2,1,1,3,2,3,1,1,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1,2,1,1,1,2,2,2,1,3,1,7,2, , ,1, , ,2,1,5,0,32,2,2,14,4,1,2,1,2,3,15,1,1,1,1,2,14,0,0,0,0,2,4,1,.9046,8
50,2,3,3,3,3,3,1,3,3,3,1,2,3,2,1,3,1,3,3,2,3,2,3,3,3,1,3,3,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,1,3,1,3,1,3,3,3,1,1,3,3,3,2,1,1,2,1,2,2,1,1,1,1,1, ,1, , ,1,7,1,5,0,68,6,4,12,4,1,2,1,3,1,12,1,1,1,2,1,22,0,0,0,0,3,5,1,.6068,70
51,2,3,3,2,2,1,1,3,3,3,1,3,3,2,1,3,1,1,1,3,3,3,3,3,3,1,1,1,1,2,3,3,3,2,2,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,2,1,2,1,2,3, ,1,3,1,1,2,2,2,1,2,5,3, , , ,2, ,4,1,5,0,33,2,2,11,3,1,1,1,1,3,5,5,1,2,3,2,34,0,0,0,0,1,6,1,.9198,6
52,2,4,3,4,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,3,1,2,3,2,1,1,1,2,2,2,2,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,2,3,2,2,1,1,3,2,2,2,1, ,2, , ,3,5,1,5,0,57,5,3,9,2,2,2,1,1,3,7,3,1,1,2,3,21,0,0,0,0,1,5,1,.9532,4
53,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,1,1,1,1,1,2,2,1,1,3,3,3,3,3,2,1,1,1,2,3,2,1,3,3,3,2,2,1,3,1,2,3,3,3,2,2,3,2,2,1,3,2,1,1,1,1,2,2,2,1,5,3, , , ,2, ,4,1,5,0,65,6,4,9,2,1,2,1,2,1,10,1,1,2,4,1,42,0,0,0,0,2,5,1,.7184,65
54,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,1,2,2,2,1,1,4,-1, , , ,-1, ,9,1,5,0,37,3,2,14,4,1,1,1,1,1,19,1,1,1,2,1,22,0,0,0,0,1,1,0,.9341,5
55,2,2,3,3,3,1,1,3,1,1,1,2,1,3,1,3,1,3,1,3,3,3,3,3,3,1,1,2,2,2,3,2,2,2,2,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,2,1,1,2,1,1,1,1,1,1, ,1, , ,1,7,1,5,0,56,5,3,9,2,1,1,1,2,3,14,1,1,3,5,2,58,0,0,0,0,2,1,1,.938,16
